0	0	0
1	2	0
2	4	0
3	6	0
4	8	0
5	10	0
6	12	0
7	14	0
8	16	0
9	18	0
10	20	0
11	22	0
12	24	0
13	26	0
14	28	0
15	30	0
16	32	0
17	34	0
18	36	0
19	38	0
20	40	0
21	42	0
22	44	0
23	46	0
24	48	0
25	50	0
26	52	0
27	54	0
28	56	0
29	58	0
30	60	0
31	62	0
32	64	0
33	66	0
34	68	0
35	70	0
36	72	0
37	74	0
38	76	0
39	78	0
40	80	0
41	82	0
42	84	0
43	86	0
44	88	0
45	90	0
46	92	0
47	94	0
48	96	0
49	98	0
50	100	0
51	102	0
52	104	0
53	106	0
54	108	0
55	110	0
56	112	0
57	114	0
58	116	0
59	118	0
60	120	0
61	122	0
62	124	0
63	126	0
64	127	0
65	127	2
66	127	4
67	127	6
68	127	8
69	127	10
70	127	12
71	127	14
72	127	16
73	127	18
74	127	20
75	127	22
76	127	24
77	127	26
78	127	28
79	127	30
80	127	32
81	127	34
82	127	36
83	127	38
84	127	40
85	127	42
86	127	44
87	127	46
88	127	48
89	127	50
90	127	52
91	127	54
92	127	56
93	127	58
94	127	60
95	127	62
96	127	64
97	127	66
98	127	68
99	127	70
100	127	72
101	127	74
102	127	76
103	127	78
104	127	80
105	127	82
106	127	84
107	127	86
108	127	88
109	127	90
110	127	92
111	127	94
112	127	96
113	127	98
114	127	100
115	127	102
116	127	104
117	127	106
118	127	108
119	127	110
120	127	112
121	127	114
122	127	116
123	127	118
124	127	120
125	127	122
126	127	124
127	127	127

