0	0	0	0	0
1	1	0.8	0	43.0
2	1	0.8	38.3	0
3	1	0.8	59.4	0
4	2	1.6	0	68.0
5	2	1.6	0	60.2
6	2	1.6	0	45.3
7	2	1.6	28.9	0
8	2	1.6	55.5	0
9	3	2.3	0	50
10	3	2.3	0	13.3
11	3	2.3	48.4	0
12	4	3.1	0	43.0
13	4	3.1	28.9	0
14	5	3.9	0	47.7
15	5	3.9	15.6	0
16	6	4.7	0	46.9
17	6	4.7	0	0
18	7	5.5	0	44.5
19	7	5.5	22.7	0
20	8	6.2	0	40.6
21	8	6.2	32.0	0
22	9	7.0	0	34.4
23	9	7.0	39.1	0
24	10	7.8	0	19.5
25	11	8.6	0	40.6
26	11	8.6	29.7	0
27	12	9.4	0	31.2
28	12	9.4	39.8	0
29	13	10.2	18.8	0
30	14	10.9	0	34.4
31	14	10.9	36.7	0
32	15	11.7	12.5	0
33	16	12.5	0	33.6
34	16	12.5	36.7	12.5
35	17	13.3	17.2	5.5
36	18	14.1	5.5	31.2
37	18	14.1	38.3	12.5
38	19	14.8	25	3.1
39	20	15.6	5.5	25
40	21	16.4	8.6	35.9
41	21	16.4	32.0	5.5
42	22	17.2	14.8	5.5
43	23	18.0	7.8	28.1
44	23	18.0	38.3	7.8
45	24	18.8	30.5	2.3
46	25	19.5	16.4	0
47	26	20.3	7.8	25
48	27	21.1	8.6	32.8
49	27	21.1	32.8	0
50	28	21.9	25.8	8.6
51	29	22.7	0	4.7
52	30	23.4	0	24.2
53	31	24.2	8.6	31.2
54	31	24.2	33.6	10.2
55	32	25	28.1	8.6
56	33	25.8	19.5	0
57	34	26.6	0	12.5
58	35	27.3	4.7	23.4
59	36	28.1	10.2	28.9
60	37	28.9	9.4	32.0
61	37	28.9	30.5	6.2
62	38	29.7	26.6	5.5
63	39	30.5	21.9	6.2
64	40	31.2	13.3	0
65	41	32.0	1.6	13.3
66	42	32.8	3.1	20.3
67	43	33.6	5.5	24.2
68	44	34.4	1.6	26.6
69	45	35.2	7.0	28.9
70	46	35.9	7.0	30.5
71	46	35.9	28.9	5.5
72	47	36.7	28.1	13.3
73	48	37.5	25	6.2
74	49	38.3	25	14.8
75	50	39.1	20.3	4.7
76	51	39.8	17.2	1.6
77	52	40.6	14.1	3.1
78	53	41.4	8.6	2.3
79	54	42.2	0	7.0
80	55	43.0	1.6	12.5
81	56	43.8	3.9	15.6
82	57	44.5	3.9	17.2
83	58	45.3	4.7	18.8
84	59	46.1	3.1	19.5
85	60	46.9	2.3	20.3
86	61	47.7	3.1	21.1
87	62	48.4	5.5	21.9
88	63	49.2	0	21.9
89	64	50	4.7	22.7
90	65	50.8	0	22.7
91	66	51.6	6.2	23.4
92	67	52.3	3.9	23.4
93	68	53.1	0.8	23.4
94	69	53.9	7.8	24.2
95	70	54.7	6.2	24.2
96	71	55.5	4.7	24.2
97	72	56.2	3.1	24.2
98	73	57.0	0.8	24.2
99	74	57.8	8.6	25
100	75	58.6	7.0	25
101	76	59.4	6.2	25
102	77	60.2	4.7	25
103	78	60.9	2.3	25
104	78	60.9	25.8	5.5
105	79	61.7	25.8	8.6
106	80	62.5	25.8	10.9
107	81	63.3	24.2	2.3
108	82	64.1	24.2	7.0
109	83	64.8	23.4	5.5
110	84	65.6	22.7	3.1
111	85	66.4	21.9	0.8
112	86	67.2	21.9	7.8
113	87	68.0	21.1	7.0
114	88	68.8	19.5	2.3
115	89	69.5	18.8	3.9
116	90	70.3	17.2	1.6
117	91	71.1	15.6	0
118	92	71.9	14.8	6.2
119	93	72.7	11.7	2.3
120	94	73.4	7.8	2.3
121	95	74.2	0	4.7
122	96	75	3.9	11.7
123	97	75.8	1.6	14.1
124	98	76.6	3.1	16.4
125	99	77.3	6.2	18.8
126	100	78.1	6.2	20.3
127	101	78.9	7.0	21.9

