-24	0	0
-23	3	0
-22	6	0
-21	9	0
-20	11	0
-19	14	0
-18	17	0
-17	19	0
-16	22	0
-15	24	0
-14	27	0
-13	30	0
-12	32	0
-11	35	0
-10	37	0
-9	40	0
-8	43	0
-7	45	8
-6	48	16
-5	51	24
-4	53	32
-3	56	40
-2	59	48
-1	61	56
0	64	64
1	67	72
2	69	80
3	72	88
4	74	96
5	77	104
6	80	112
7	82	120
8	85	127
9	87	127
10	90	127
11	93	127
12	95	127
13	98	127
14	101	127
15	103	127
16	106	127
17	109	127
18	111	127
19	114	127
20	116	127
21	119	127
22	122	127
23	124	127
24	127	127
