0	0	0	0
1	1	32.0	0
2	2	21.2	0
3	2	21.2	0
4	2	28.9	0
5	2	37.5	0
6	2	50	0
7	4	0	32.0
8	4	0	32.0
9	5	0	17.5
10	6	0	52.3
11	6	0	47.7
12	6	0	0
13	7	0	0
14	7	0	0
15	8	0	35.9
16	9	0	36.7
17	10	0	37.5
18	10	0	19.5
19	11	0	46.1
20	12	0	35.9
21	12	17.2	0
22	13	0	28.9
23	13	37.5	0
24	14	18.8	0
25	15	0	10.2
26	16	0	34.4
27	17	0	39.1
28	17	26.6	0
29	18	0	9.4
30	19	0	35.9
31	19	35.9	8.6
32	20	25.8	0
33	21	19.5	3.9
34	22	0	21.1
35	23	0	30.5
36	24	0	32.0
37	25	0	37.5
38	25	28.9	0
39	26	13.3	0
40	27	0	0
41	28	0	18.8
42	29	0	26.6
43	30	0	28.9
44	31	0	29.7
45	32	15.6	34.4
46	33	0	33.6
47	34	0	32.8
48	34	30.5	0
49	35	30.5	0
50	37	0	35.2
51	37	27.3	8.6
52	38	28.9	7.0
53	40	0	33.6
54	41	12.5	33.6
55	42	0	33.6
56	42	30.5	0
57	43	30.5	1.6
58	44	32.0	3.9
59	46	0.8	27.3
60	47	0	25
61	48	9.4	22.7
62	49	0	17.2
63	50	0	11.7
64	51	13.3	0.8
65	52	20.3	5.5
66	53	24.2	7.0
67	54	27.3	4.7
68	56	0	26.6
69	57	0	22.7
70	58	0	17.2
71	59	10.9	0
72	60	18.8	2.3
73	61	24.2	0
74	62	28.1	3.9
75	64	3.9	22.7
76	65	0	14.8
77	66	12.5	0
78	68	4.7	30.5
79	69	6.2	27.3
80	70	0	21.9
81	71	5.5	16.4
82	72	13.3	0
83	73	21.9	3.1
84	75	0	25
85	76	0	19.5
86	77	0	7.8
87	78	18.8	7.8
88	79	24.2	4.7
89	81	11.7	23.4
90	82	0	13.3
91	83	14.1	0
92	84	21.9	0
93	86	7.8	23.4
94	87	3.9	16.4
95	88	11.7	0
96	89	20.3	0
97	91	5.5	23.4
98	92	4.7	17.2
99	93	8.6	1.6
100	94	18.8	0
101	96	12.5	25
102	97	10.2	19.5
103	98	0	3.1
104	99	17.2	0
105	100	22.7	3.1
106	102	6.2	19.5
107	103	1.6	10.2
108	104	14.8	0.8
109	105	21.9	8.6
110	107	0	20.3
111	108	2.3	14.1
112	109	9.4	0
113	110	19.5	8.6
114	111	22.7	3.9
115	113	3.9	18.0
116	114	5.5	10.9
117	115	13.3	1.6
118	116	20.3	9.4
119	118	2.3	21.1
120	119	3.1	17.2
121	120	3.1	10.2
122	122	3.9	26.6
123	123	0	24.2
124	124	4.7	21.9
125	125	4.7	18.8
126	126	2.3	14.1
127	127	0	0.8
