0	0	0	0
1	1	0	90
2	1	0	60
3	1	0	30
4	1	0	5
5	1	5	0
6	1	30	0
7	1	60	0
8	1	90	0
9	2	0	60
10	2	0	30
11	2	0	0
12	2	42	0
13	2	70	0
14	3	0	11
15	3	0	0
16	3	45	0
17	4	0	50
18	4	30	0
19	5	0	0
20	5	45	0
21	5	78	0
22	6	0	50
23	6	0	0
24	6	50	0
25	7	0	30
26	7	46	0
27	8	0	0
28	8	65	0
29	9	0	0
30	9	39	0
31	10	0	0
32	11	0	24
33	11	0	0
34	12	0	0
35	12	50	0
36	13	0	0
37	14	0	0
38	14	50	0
39	15	0	0
40	15	50	0
41	16	0	0
42	17	0	0
43	17	50	0
44	18	0	0
45	19	0	0
46	20	0	0
47	21	0	62
48	21	0	0
49	22	0	55
50	22	0	0
51	23	0	0
52	23	45	0
53	24	0	50
54	24	50	0
55	25	0	0
56	26	0	0
57	27	0	0
58	27	31	0
59	28	0	0
60	29	0	0
61	29	44	0
62	30	0	0
63	31	0	0
64	32	0	0
65	32	0	34
66	33	0	0
67	34	0	0
68	34	0	0
69	35	0	0
70	36	0	0
71	37	0	0
72	37	33	0
73	38	0	0
74	39	0	0
75	40	0	39
76	40	26	0
77	41	0	0
78	42	0	0
79	42	39	0
80	43	0	0
81	44	0	0
82	45	0	0
83	45	40	0
84	46	0	0
85	47	0	22
86	47	50	0
87	48	0	0
88	49	0	0
89	50	0	0
90	51	0	0
91	52	0	35
92	52	42	0
93	53	0	0
94	54	0	0
95	54	43	0
96	55	0	0
97	56	0	0
98	57	0	0
99	58	0	0
100	59	0	40
101	59	35	0
102	60	0	0
103	61	0	0
104	62	0	0
105	63	0	0
106	64	0	36
107	64	25	0
108	65	0	0
109	66	0	0
110	67	0	0
111	67	34	0
112	68	0	0
113	69	0	0
114	70	0	0
115	70	36	0
116	71	0	0
117	72	0	0
118	73	0	26
119	73	34	0
120	74	0	0
121	75	0	0
122	76	0	26
123	76	32	0
124	77	0	0
125	78	0	0
126	79	0	0
127	80	0	0
